Index	Vgate	Vsource	Vdrain	Idrain	IdrainPerWg
198	 200.00 mV	 0 V	 1.7500 V	 110.430 uA	 11.04300000 uA/um
199	 200.00 mV	 0 V	 1.8000 V	 112.090 uA	 11.20900000 uA/um
200	 200.00 mV	 0 V	 1.8500 V	 113.650 uA	 11.36500000 uA/um
201	 200.00 mV	 0 V	 1.9000 V	 115.290 uA	 11.52900000 uA/um
202	 200.00 mV	 0 V	 1.9500 V	 116.860 uA	 11.68600000 uA/um
203	 200.00 mV	 0 V	 2.0000 V	 118.540 uA	 11.85400000 uA/um
204	 200.00 mV	 0 V	 2.0500 V	 120.290 uA	 12.02900000 uA/um
205	 200.00 mV	 0 V	 2.1000 V	 121.950 uA	 12.19500000 uA/um
206	 200.00 mV	 0 V	 2.1500 V	 123.600 uA	 12.36000000 uA/um
207	 200.00 mV	 0 V	 2.2000 V	 125.280 uA	 12.52800000 uA/um
208	 200.00 mV	 0 V	 2.2500 V	 126.890 uA	 12.68900000 uA/um
209	 200.00 mV	 0 V	 2.3000 V	 128.670 uA	 12.86700000 uA/um
210	 200.00 mV	 0 V	 2.3500 V	 129.840 uA	 12.98400000 uA/um
211	 200.00 mV	 0 V	 2.4000 V	 131.990 uA	 13.19900000 uA/um
212	 200.00 mV	 0 V	 2.4500 V	 133.570 uA	 13.35700000 uA/um
213	 200.00 mV	 0 V	 2.5000 V	 135.060 uA	 13.50600000 uA/um
214	 200.00 mV	 0 V	 2.5500 V	 136.960 uA	 13.69600000 uA/um
215	 200.00 mV	 0 V	 2.6000 V	 138.860 uA	 13.88600000 uA/um
216	 200.00 mV	 0 V	 2.6500 V	 140.810 uA	 14.08100000 uA/um
217	 200.00 mV	 0 V	 2.7000 V	 142.840 uA	 14.28400000 uA/um
218	 200.00 mV	 0 V	 2.7500 V	 144.780 uA	 14.47800000 uA/um
219	 200.00 mV	 0 V	 2.8000 V	 146.750 uA	 14.67500000 uA/um
220	 200.00 mV	 0 V	 2.8500 V	 148.870 uA	 14.88700000 uA/um
221	 200.00 mV	 0 V	 2.9000 V	 150.810 uA	 15.08100000 uA/um
222	 200.00 mV	 0 V	 2.9500 V	 153.060 uA	 15.30600000 uA/um
223	 200.00 mV	 0 V	 3.0000 V	 155.010 uA	 15.50100000 uA/um
224	 200.00 mV	 0 V	 3.0500 V	 157.580 uA	 15.75800000 uA/um
225	 200.00 mV	 0 V	 3.1000 V	 160.050 uA	 16.00500000 uA/um
226	 200.00 mV	 0 V	 3.1500 V	 162.630 uA	 16.26300000 uA/um
227	 200.00 mV	 0 V	 3.2000 V	 165.290 uA	 16.52900000 uA/um
228	 200.00 mV	 0 V	 3.2500 V	 167.930 uA	 16.79300000 uA/um
229	 200.00 mV	 0 V	 3.3000 V	 171.110 uA	 17.11100000 uA/um
230	 200.00 mV	 0 V	 3.3500 V	 174.230 uA	 17.42300000 uA/um
231	 200.00 mV	 0 V	 3.4000 V	 177.520 uA	 17.75200000 uA/um
232	 200.00 mV	 0 V	 3.4500 V	 180.900 uA	 18.09000000 uA/um
233	 200.00 mV	 0 V	 3.5000 V	 184.620 uA	 18.46200000 uA/um
234	 200.00 mV	 0 V	 3.5500 V	 188.410 uA	 18.84100000 uA/um
235	 200.00 mV	 0 V	 3.6000 V	 192.060 uA	 19.20600000 uA/um
236	 200.00 mV	 0 V	 3.6500 V	 196.750 uA	 19.67500000 uA/um
237	 200.00 mV	 0 V	 3.7000 V	 201.170 uA	 20.11700000 uA/um
238	 200.00 mV	 0 V	 3.7500 V	 205.600 uA	 20.56000000 uA/um
239	 200.00 mV	 0 V	 3.8000 V	 210.450 uA	 21.04500000 uA/um
240	 200.00 mV	 0 V	 3.8500 V	 215.420 uA	 21.54200000 uA/um
241	 200.00 mV	 0 V	 3.9000 V	 220.720 uA	 22.07200000 uA/um
242	 200.00 mV	 0 V	 3.9500 V	 226.180 uA	 22.61800000 uA/um
243	 200.00 mV	 0 V	 4.0000 V	 231.860 uA	 23.18600000 uA/um
244	 300.00 mV	 0 V	 0 V	 1.73750 uA	 173.7500000 nA/um
245	 300.00 mV	 0 V	 50.0 mV	 962.300 uA	 96.23000000 uA/um
246	 300.00 mV	 0 V	 100.0 mV	 1.24840 mA	 124.8400000 uA/um
247	 300.00 mV	 0 V	 150.0 mV	 1.36400 mA	 136.4000000 uA/um
248	 300.00 mV	 0 V	 200.0 mV	 1.43200 mA	 143.2000000 uA/um
249	 300.00 mV	 0 V	 250.0 mV	 1.48660 mA	 148.6600000 uA/um
250	 300.00 mV	 0 V	 300.0 mV	 1.53590 mA	 153.5900000 uA/um
251	 300.00 mV	 0 V	 350.0 mV	 1.58040 mA	 158.0400000 uA/um
252	 300.00 mV	 0 V	 400.0 mV	 1.62190 mA	 162.1900000 uA/um
253	 300.00 mV	 0 V	 450.0 mV	 1.66140 mA	 166.1400000 uA/um
254	 300.00 mV	 0 V	 500.0 mV	 1.69700 mA	 169.7000000 uA/um
255	 300.00 mV	 0 V	 550.0 mV	 1.73150 mA	 173.1500000 uA/um
256	 300.00 mV	 0 V	 600.0 mV	 1.76550 mA	 176.5500000 uA/um
257	 300.00 mV	 0 V	 650.0 mV	 1.79750 mA	 179.7500000 uA/um
258	 300.00 mV	 0 V	 700.0 mV	 1.82830 mA	 182.8300000 uA/um
259	 300.00 mV	 0 V	 750.0 mV	 1.85780 mA	 185.7800000 uA/um
260	 300.00 mV	 0 V	 800.0 mV	 1.88570 mA	 188.5700000 uA/um
261	 300.00 mV	 0 V	 850.0 mV	 1.91490 mA	 191.4900000 uA/um
262	 300.00 mV	 0 V	 900.0 mV	 1.94180 mA	 194.1800000 uA/um
263	 300.00 mV	 0 V	 950.0 mV	 1.96870 mA	 196.8700000 uA/um
264	 300.00 mV	 0 V	 1.0000 V	 1.99510 mA	 199.5100000 uA/um
265	 300.00 mV	 0 V	 1.0500 V	 2.02090 mA	 202.0900000 uA/um
266	 300.00 mV	 0 V	 1.1000 V	 2.04720 mA	 204.7200000 uA/um
267	 300.00 mV	 0 V	 1.1500 V	 2.07250 mA	 207.2500000 uA/um
268	 300.00 mV	 0 V	 1.2000 V	 2.09660 mA	 209.6600000 uA/um
269	 300.00 mV	 0 V	 1.2500 V	 2.12170 mA	 212.1700000 uA/um
270	 300.00 mV	 0 V	 1.3000 V	 2.13610 mA	 213.6100000 uA/um
271	 300.00 mV	 0 V	 1.3500 V	 2.16510 mA	 216.5100000 uA/um
272	 300.00 mV	 0 V	 1.4000 V	 2.19150 mA	 219.1500000 uA/um
273	 300.00 mV	 0 V	 1.4500 V	 2.21680 mA	 221.6800000 uA/um
274	 300.00 mV	 0 V	 1.5000 V	 2.23840 mA	 223.8400000 uA/um
275	 300.00 mV	 0 V	 1.5500 V	 2.25660 mA	 225.6600000 uA/um
276	 300.00 mV	 0 V	 1.6000 V	 2.28090 mA	 228.0900000 uA/um
277	 300.00 mV	 0 V	 1.6500 V	 2.30590 mA	 230.5900000 uA/um
278	 300.00 mV	 0 V	 1.7000 V	 2.33120 mA	 233.1200000 uA/um
279	 300.00 mV	 0 V	 1.7500 V	 2.35530 mA	 235.5300000 uA/um
280	 300.00 mV	 0 V	 1.8000 V	 2.37860 mA	 237.8600000 uA/um
281	 300.00 mV	 0 V	 1.8500 V	 2.40250 mA	 240.2500000 uA/um
282	 300.00 mV	 0 V	 1.9000 V	 2.42690 mA	 242.6900000 uA/um
283	 300.00 mV	 0 V	 1.9500 V	 2.45190 mA	 245.1900000 uA/um
284	 300.00 mV	 0 V	 2.0000 V	 2.46930 mA	 246.9300000 uA/um
285	 300.00 mV	 0 V	 2.0500 V	 2.49550 mA	 249.5500000 uA/um
286	 300.00 mV	 0 V	 2.1000 V	 2.52000 mA	 252.0000000 uA/um
287	 300.00 mV	 0 V	 2.1500 V	 2.54440 mA	 254.4400000 uA/um
288	 300.00 mV	 0 V	 2.2000 V	 2.56880 mA	 256.8800000 uA/um
289	 300.00 mV	 0 V	 2.2500 V	 2.59640 mA	 259.6400000 uA/um
290	 300.00 mV	 0 V	 2.3000 V	 2.62180 mA	 262.1800000 uA/um
291	 300.00 mV	 0 V	 2.3500 V	 2.64730 mA	 264.7300000 uA/um
292	 300.00 mV	 0 V	 2.4000 V	 2.67410 mA	 267.4100000 uA/um
293	 300.00 mV	 0 V	 2.4500 V	 2.70010 mA	 270.0100000 uA/um
