Vgate (V),Vsource (V),Vdrain (V),Idrain (A)
6.00E-01,0,7.50E-01,8.05E-02
6.00E-01,0,8.00E-01,8.10E-02
6.00E-01,0,8.50E-01,8.15E-02
6.00E-01,0,9.00E-01,8.19E-02
6.00E-01,0,9.50E-01,8.23E-02
6.00E-01,0,1,8.26E-02
6.00E-01,0,1.05,8.29E-02
6.00E-01,0,1.1,8.32E-02
6.00E-01,0,1.15,8.35E-02
6.00E-01,0,1.2,8.37E-02
6.00E-01,0,1.25,8.40E-02
6.00E-01,0,1.3,8.42E-02
6.00E-01,0,1.35,8.45E-02
6.00E-01,0,1.4,8.47E-02
6.00E-01,0,1.45,8.49E-02
6.00E-01,0,1.5,8.51E-02
6.00E-01,0,1.55,8.53E-02
6.00E-01,0,1.6,8.55E-02
6.00E-01,0,1.65,8.57E-02
6.00E-01,0,1.7,8.58E-02
6.00E-01,0,1.75,8.60E-02
6.00E-01,0,1.8,8.62E-02
6.00E-01,0,1.85,8.64E-02
6.00E-01,0,1.9,8.66E-02
6.00E-01,0,1.95,8.68E-02
6.00E-01,0,2,8.70E-02
6.00E-01,0,2.05,8.72E-02
6.00E-01,0,2.1,8.74E-02
6.00E-01,0,2.15,8.76E-02
6.00E-01,0,2.2,8.77E-02
6.00E-01,0,2.25,8.80E-02
6.00E-01,0,2.3,8.82E-02
6.00E-01,0,2.35,8.84E-02
6.00E-01,0,2.4,8.86E-02
6.00E-01,0,2.45,8.89E-02
6.00E-01,0,2.5,8.91E-02
6.00E-01,0,2.55,8.94E-02
6.00E-01,0,2.6,8.97E-02
6.00E-01,0,2.65,9.00E-02
6.00E-01,0,2.7,9.04E-02
6.00E-01,0,2.75,9.07E-02
6.00E-01,0,2.8,9.10E-02
6.00E-01,0,2.85,9.13E-02
6.00E-01,0,2.9,9.17E-02
6.00E-01,0,2.95,9.20E-02
6.00E-01,0,3,9.23E-02
6.00E-01,0,3.05,9.26E-02
6.00E-01,0,3.1,9.29E-02
6.00E-01,0,3.15,9.32E-02
6.00E-01,0,3.2,9.34E-02
6.00E-01,0,3.25,9.37E-02
6.00E-01,0,3.3,9.40E-02
6.00E-01,0,3.35,9.43E-02
6.00E-01,0,3.4,9.46E-02
6.00E-01,0,3.45,9.48E-02
6.00E-01,0,3.5,9.51E-02
6.00E-01,0,3.55,9.54E-02
6.00E-01,0,3.6,9.56E-02
6.00E-01,0,3.65,9.59E-02
6.00E-01,0,3.7,9.62E-02
6.00E-01,0,3.75,9.64E-02
6.00E-01,0,3.8,9.67E-02
6.00E-01,0,3.85,9.70E-02
6.00E-01,0,3.9,9.73E-02
6.00E-01,0,3.95,9.76E-02
6.00E-01,0,4,9.78E-02
7.00E-01,0,0,-1.17E-05
7.00E-01,0,5.00E-02,9.19E-03
7.00E-01,0,1.00E-01,1.83E-02
7.00E-01,0,1.50E-01,2.73E-02
7.00E-01,0,2.00E-01,3.63E-02
7.00E-01,0,2.50E-01,4.50E-02
7.00E-01,0,3.00E-01,5.37E-02
7.00E-01,0,3.50E-01,6.21E-02
7.00E-01,0,4.00E-01,7.03E-02
7.00E-01,0,4.50E-01,7.83E-02
7.00E-01,0,5.00E-01,8.59E-02
7.00E-01,0,5.50E-01,9.31E-02
7.00E-01,0,6.00E-01,9.98E-02
7.00E-01,0,6.50E-01,1.00E-01
7.00E-01,0,7.00E-01,1.00E-01
7.00E-01,0,7.50E-01,1.00E-01
7.00E-01,0,8.00E-01,1.00E-01
7.00E-01,0,8.50E-01,1.00E-01
7.00E-01,0,9.00E-01,1.00E-01
7.00E-01,0,9.50E-01,1.00E-01
7.00E-01,0,1,1.00E-01
7.00E-01,0,1.05,1.00E-01
7.00E-01,0,1.1,1.00E-01
7.00E-01,0,1.15,1.00E-01
7.00E-01,0,1.2,1.00E-01
7.00E-01,0,1.25,1.00E-01
7.00E-01,0,1.3,1.00E-01
7.00E-01,0,1.35,1.00E-01
7.00E-01,0,1.4,1.00E-01
7.00E-01,0,1.45,1.00E-01
7.00E-01,0,1.5,1.00E-01
7.00E-01,0,1.55,1.00E-01
7.00E-01,0,1.6,1.00E-01
7.00E-01,0,1.65,1.00E-01
7.00E-01,0,1.7,1.00E-01
7.00E-01,0,1.75,1.00E-01
7.00E-01,0,1.8,1.00E-01
7.00E-01,0,1.85,1.00E-01
7.00E-01,0,1.9,1.00E-01
7.00E-01,0,1.95,1.00E-01
7.00E-01,0,2,1.00E-01
7.00E-01,0,2.05,1.00E-01
7.00E-01,0,2.1,1.00E-01
7.00E-01,0,2.15,1.00E-01
7.00E-01,0,2.2,1.00E-01
7.00E-01,0,2.25,1.00E-01
7.00E-01,0,2.3,1.00E-01
7.00E-01,0,2.35,1.00E-01
7.00E-01,0,2.4,1.00E-01
7.00E-01,0,2.45,1.00E-01
7.00E-01,0,2.5,1.00E-01
7.00E-01,0,2.55,1.00E-01
7.00E-01,0,2.6,1.00E-01
7.00E-01,0,2.65,1.00E-01
7.00E-01,0,2.7,1.00E-01
7.00E-01,0,2.75,1.00E-01
